Animalia,Chordata,Aves,Anseriformes,Anatidae ,Anas,acuta,Anas acuta,Pato Rabudo ,Northern Pintail,Carraco Colilargo,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Anseriformes >Familia: Anatidae  >Género: Anas >Especie: acuta >N. científico: Anas acuta,,,,,
Animalia,Chordata,Aves,Anseriformes,Anatidae ,Anas,crecca,Anas crecca,Cerceta Aliverde ,Green-winged Teal,"Carraco, Zarceta ",Reino: Animalia >División: Chordata >Clase: Aves >Orden: Anseriformes >Familia: Anatidae  >Género: Anas >Especie: crecca >N. científico: Anas crecca,,,,,
Animalia,Chordata,Aves,Anseriformes,Anatidae ,Aythya,valisineria,Aythya valisineria,Porrón Picudo,Canvasback,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Anseriformes >Familia: Anatidae  >Género: Aythya >Especie: valisineria >N. científico: Aythya valisineria,,,,,
Animalia,Chordata,Aves,Anseriformes,Anatidae ,Aythya,americana,Aythya americana,Porrón Americano,Redhead,Pato Cabeza Roja,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Anseriformes >Familia: Anatidae  >Género: Aythya >Especie: americana >N. científico: Aythya americana,,,,,
Animalia,Chordata,Aves,Anseriformes,Anatidae ,Aythya,collaris,Aythya collaris,Porrón Collarejo ,Ring-necked Duck,Pato,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Anseriformes >Familia: Anatidae  >Género: Aythya >Especie: collaris >N. científico: Aythya collaris,,,,,
Animalia,Chordata,Aves,Anseriformes,Anatidae ,Aythya,marila,Aythya marila,Porrón Mayor ,Greater Scaup,Pato,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Anseriformes >Familia: Anatidae  >Género: Aythya >Especie: marila >N. científico: Aythya marila,,,,,
Animalia,Chordata,Aves,Anseriformes,Anatidae ,Aythya,affinis,Aythya affinis,Porrón Menor ,Lesser Scaup,Pato,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Anseriformes >Familia: Anatidae  >Género: Aythya >Especie: affinis >N. científico: Aythya affinis,,,,,
Animalia,Chordata,Aves,Anseriformes,Anatidae ,Lophodytes,cucullatus,Lophodytes cucullatus,Serreta Capuchona ,Hooded Merganser,Pato de Cresta,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Anseriformes >Familia: Anatidae  >Género: Lophodytes >Especie: cucullatus >N. científico: Lophodytes cucullatus,,,,,
Animalia,Chordata,Aves,Anseriformes,Anatidae ,Nomonyx,dominicus,Nomonyx dominicus,Pato Enmascarado,Masked Duck,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Anseriformes >Familia: Anatidae  >Género: Nomonyx >Especie: dominicus >N. científico: Nomonyx dominicus,,,,,
Animalia,Chordata,Aves,Anseriformes,Anatidae ,Oxyura,jamaicensis,Oxyura jamaicensis,Pato Cariblanco,Ruddy Duck,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Anseriformes >Familia: Anatidae  >Género: Oxyura >Especie: jamaicensis >N. científico: Oxyura jamaicensis,,,,,
Animalia,Chordata,Aves,Galliformes,Cracidae ,Ortalis,vetula,Ortalis vetula,Chachalaca Olivácea ,Plain Chachalaca,Chachalaca,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Galliformes >Familia: Cracidae  >Género: Ortalis >Especie: vetula >N. científico: Ortalis vetula,,,,,
Animalia,Chordata,Aves,Galliformes,Cracidae ,Ortalis,cinereiceps,Ortalis cinereiceps,Chachalaca Cabecigrís ,Gray-headed Chachalaca,"Chachalaca, Pavita",Reino: Animalia >División: Chordata >Clase: Aves >Orden: Galliformes >Familia: Cracidae  >Género: Ortalis >Especie: cinereiceps >N. científico: Ortalis cinereiceps,,,,,
Animalia,Chordata,Aves,Galliformes,Cracidae ,Penelope,purpurascens,Penelope purpurascens,Pava Crestada ,Crested Guan,Pava Granadera,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Galliformes >Familia: Cracidae  >Género: Penelope >Especie: purpurascens >N. científico: Penelope purpurascens,,,,,
Animalia,Chordata,Aves,Galliformes,Cracidae ,Chamaepetes,unicolor,Chamaepetes unicolor,Pava Negra ,Black Guan,Pajuila ,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Galliformes >Familia: Cracidae  >Género: Chamaepetes >Especie: unicolor >N. científico: Chamaepetes unicolor,,,,,
Animalia,Chordata,Aves,Galliformes,Cracidae ,Crax,rubra,Crax rubra,Pavón Grande ,Great Curassow,"Pavón, Granadera",Reino: Animalia >División: Chordata >Clase: Aves >Orden: Galliformes >Familia: Cracidae  >Género: Crax >Especie: rubra >N. científico: Crax rubra,,,,,
Animalia,Chordata,Aves,Galliformes,Odontophoridae ,Rhynchortyx,cinctus,Rhynchortyx cinctus,Codorniz Carirrufa,Tawny-faced Quail,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Galliformes >Familia: Odontophoridae  >Género: Rhynchortyx >Especie: cinctus >N. científico: Rhynchortyx cinctus,,,,,
Animalia,Chordata,Aves,Galliformes,Odontophoridae ,Dendrortyx,leucophrys,Dendrortyx leucophrys,Perdiz Montañera ,Buffy-crowned Wood-Partridge,Chirrascuá,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Galliformes >Familia: Odontophoridae  >Género: Dendrortyx >Especie: leucophrys >N. científico: Dendrortyx leucophrys,,,,,
Animalia,Chordata,Aves,Galliformes,Odontophoridae ,Colinus,cristatus,Colinus cristatus,Codorniz Crestada ,Crested Bobwhite,Codorniz de Monte,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Galliformes >Familia: Odontophoridae  >Género: Colinus >Especie: cristatus >N. científico: Colinus cristatus,,,,,
Animalia,Chordata,Aves,Galliformes,Odontophoridae ,Odontophorus,gujanensis,Odontophorus gujanensis,Codorniz Corcovado ,Marbled Wood-Quail,Julián Piojo,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Galliformes >Familia: Odontophoridae  >Género: Odontophorus >Especie: gujanensis >N. científico: Odontophorus gujanensis,,,,,
Animalia,Chordata,Aves,Galliformes,Odontophoridae ,Odontophorus,melanotis,Odontophorus melanotis,Codorniz Orejinegra ,Black-eared Wood-Quail,"Chirrascuá, Gallinita",Reino: Animalia >División: Chordata >Clase: Aves >Orden: Galliformes >Familia: Odontophoridae  >Género: Odontophorus >Especie: melanotis >N. científico: Odontophorus melanotis,,,,,
