0,1,2,3,4,5,6,7,8,9,10,11,12,13
Odontophorus gujanensis,Animalia,Chordata,Aves,Galliformes,Odontophoridae ,Odontophorus,gujanensis,Codorniz Corcovado ,Marbled Wood-Quail,"Odontophorus gujanensis, Marbled Wood-Quail, Codorniz Corcovado ",,,28
Odontophorus melanotis,Animalia,Chordata,Aves,Galliformes,Odontophoridae ,Odontophorus,melanotis,Codorniz Orejinegra ,Black-eared Wood-Quail,"Odontophorus melanotis, Black-eared Wood-Quail, Codorniz Orejinegra ",,"Chirrascuá, Gallinita",28
Oxyura jamaicensis,Animalia,Chordata,Aves,Anseriformes,Anatidae ,Oxyura,jamaicensis,Pato Cariblanco,Ruddy Duck,"Oxyura jamaicensis, Ruddy Duck, Pato Cariblanco",,,36
Panyptila cayennensis,Animalia,Chordata,Aves,Apodiformes,Apodidae ,Panyptila,cayennensis,Vencejo Tijereta Menor ,Lesser Swallow-tailed Swift,"Panyptila cayennensis, Lesser Swallow-tailed Swift, Vencejo Tijereta Menor ",,Macuá,132
Pardirallus maculatus,Animalia,Chordata,Aves,Gruiformes,Rallidae ,Pardirallus,maculatus,Rascón Moteado,Spotted Rail,"Pardirallus maculatus, Spotted Rail, Rascón Moteado",,,86
Patagioenas cayennensis,Animalia,Chordata,Aves,Columbiformes,Columbidae ,Patagioenas,cayennensis,Paloma Colorada ,Pale-vented Pigeon,"Patagioenas cayennensis, Pale-vented Pigeon, Paloma Colorada ",,Paloma Morada,160
Patagioenas flavirostris,Animalia,Chordata,Aves,Columbiformes,Columbidae ,Patagioenas,flavirostris,Paloma Piquirroja ,Red-billed Pigeon,"Patagioenas flavirostris, Red-billed Pigeon, Paloma Piquirroja ",,Paloma Morada Común ,160
Pelecanus occidentalis,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae ,Pelecanus,occidentalis,Pelícano Pardo,Brown Pelican,"Pelecanus occidentalis, Brown Pelican, Pelícano Pardo",,"Buchón, Pelícano, Alcatraz",38
Phaethornis longirostris,Animalia,Chordata,Aves,Apodiformes,Trochilidae ,Phaethornis,longirostris,Ermitaño Colilargo,Long-billed Hermit,"Phaethornis longirostris, Long-billed Hermit, Ermitaño Colilargo",,,140
Phaetusa simplex,Animalia,Chordata,Aves,Charadriiformes,Laridae ,Phaetusa,simplex,Charrán Picudo ,Large-billed Tern,"Phaetusa simplex, Large-billed Tern, Charrán Picudo ",,Charrán de Río,378
Phalaropus tricolor,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae ,Phalaropus,tricolor,Falaropo Tricolor,Wilson's Phalarope,"Phalaropus tricolor, Wilson's Phalarope, Falaropo Tricolor",,,82
Pheucticus melanocephalus,Animalia,Chordata,Aves,Passeriformes,Cardinalidae ,Pheucticus,melanocephalus,Picogrueso Cabecinegro,Black-headed Grosbeak,"Pheucticus melanocephalus, Black-headed Grosbeak, Picogrueso Cabecinegro",,,346
Piaya cayana,Animalia,Chordata,Aves,Cuculiformes,Cuculidae ,Piaya,cayana,Cuco Ardilla,Squirrel Cuckoo,"Piaya cayana, Squirrel Cuckoo, Cuco Ardilla",,"Bobo Chiso, Cacao, San Miguel",176
Picumnus olivaceus,Animalia,Chordata,Aves,Piciformes,Picidae ,Picumnus,olivaceus,Carpinterito Oliváceo ,Olivaceous Piculet,"Picumnus olivaceus, Olivaceous Piculet, Carpinterito Oliváceo ",,Telegrafista,196
Platyrinchus coronatus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae ,Platyrinchus,coronatus,Piquichato Coronirrufo,Golden-crowned Spadebill,"Platyrinchus coronatus, Golden-crowned Spadebill, Piquichato Coronirrufo",,,226
Pluvialis dominica,Animalia,Chordata,Aves,Charadriiformes,Charadriidae ,Pluvialis,dominica,Chorlito Dorado Menor,American Golden-Plover,"Pluvialis dominica, American Golden-Plover, Chorlito Dorado Menor",,,68
Pluvialis fulva,Animalia,Chordata,Aves,Charadriiformes,Charadriidae ,Pluvialis,fulva,Chorlito Dorado del Pacífico,Pacific Golden-Plover,"Pluvialis fulva, Pacific Golden-Plover, Chorlito Dorado del Pacífico",,,376
Podiceps nigricollis,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae ,Podiceps,nigricollis,Zambullidor Mediano,Eared Grebe,"Podiceps nigricollis, Eared Grebe, Zambullidor Mediano",,,373
Polioptila plumbea,Animalia,Chordata,Aves,Passeriformes,Polioptilidae ,Polioptila,plumbea,Perlita Tropical ,Tropical Gnatcather,"Polioptila plumbea, Tropical Gnatcather, Perlita Tropical ",,"Espatulilla, Cazadora ",274
Pselliophorus tibialis,Animalia,Chordata,Aves,Passeriformes,Emberizidae ,Pselliophorus,tibialis,Saltón de Muslos Amarillos ,Yellow-thighed Finch,"Pselliophorus tibialis, Yellow-thighed Finch, Saltón de Muslos Amarillos ",,Calzones Amarillos,334
Pteroglossus frantzii,Animalia,Chordata,Aves,Piciformes,Ramphastidae ,Pteroglossus,frantzii,Tucancillo Piquianaranjado ,Fiery-billed Aracari,"Pteroglossus frantzii, Fiery-billed Aracari, Tucancillo Piquianaranjado ",,"Cusingo, Cachis, Filí",192
Ramphastos ambiguus,Animalia,Chordata,Aves,Piciformes,Ramphastidae ,Ramphastos,ambiguus,Tucán Pico Castaño ,Yellow-throated Toucan,"Ramphastos ambiguus, Yellow-throated Toucan, Tucán Pico Castaño ",,"Quioro, Dios te dé, Gran Curré Negro",192
Recurvirostra americana,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae ,Recurvirostra,americana,Avoceta Americana,American Avocet,"Recurvirostra americana, American Avocet, Avoceta Americana",,,72
Salpinctes obsoletus,Animalia,Chordata,Aves,Passeriformes,Troglodytidae ,Salpinctes,obsoletus,Soterrey Roquero,Rock Wren,"Salpinctes obsoletus, Rock Wren, Soterrey Roquero",,,276
Saltator atriceps,Animalia,Chordata,Aves,Passeriformes,Thraupidae ,Saltator,atriceps,Saltator Cabecinegro ,Black-headed Saltator,"Saltator atriceps, Black-headed Saltator, Saltator Cabecinegro ",,Chayotero,332
Sarkidiornis melanotos ,Animalia,Chordata,Aves,Anseriformes,Anatidae ,Sarkidiornis,melanotos,Pato Crestudo,Comb Duck,"Sarkidiornis melanotos , Comb Duck, Pato Crestudo",,,372
Sclerurus albigularis,Animalia,Chordata,Aves,Passeriformes,Furnariidae ,Sclerurus,albigularis,Tirahojas Gargantigrís,Gray-throated Leaftosser,"Sclerurus albigularis, Gray-throated Leaftosser, Tirahojas Gargantigrís",,,206
Sclerurus mexicanus,Animalia,Chordata,Aves,Passeriformes,Furnariidae ,Sclerurus,mexicanus,Tirahojas Pechirrufo,Tawny-throated Leaftosser,"Sclerurus mexicanus, Tawny-throated Leaftosser, Tirahojas Pechirrufo",,,206
Selenidera spectabilis,Animalia,Chordata,Aves,Piciformes,Ramphastidae ,Selenidera,spectabilis,Tucancillo Orejiamarillo,Yellow-eared Toucanet,"Selenidera spectabilis, Yellow-eared Toucanet, Tucancillo Orejiamarillo",,,192
Semnornis frantzii,Animalia,Chordata,Aves,Piciformes,Semnornithidae ,Semnornis,frantzii,Barbudo Cocora ,Prong-billed Barbet,"Semnornis frantzii, Prong-billed Barbet, Barbudo Cocora ",,"Cocora, Carcareón",190
Setophaga americana,Animalia,Chordata,Aves,Passeriformes,Parulidae ,Setophaga,americana,Parula Norteña,Northern Parula,"Setophaga americana, Northern Parula, Parula Norteña",,,300
Setophaga coronata,Animalia,Chordata,Aves,Passeriformes,Parulidae ,Setophaga,coronata,Reinita Lomiamarilla,Yellow-rumped Warbler,"Setophaga coronata, Yellow-rumped Warbler, Reinita Lomiamarilla",,,302
Setophaga palmarum,Animalia,Chordata,Aves,Passeriformes,Parulidae ,Setophaga,palmarum,Reinita Coronicastaña,Palm Warbler,"Setophaga palmarum, Palm Warbler, Reinita Coronicastaña",,,306
Setophaga virens,Animalia,Chordata,Aves,Passeriformes,Parulidae ,Setophaga,virens,Reinita Cariamarilla,Black-throated Green Warbler,"Setophaga virens, Black-throated Green Warbler, Reinita Cariamarilla",,,308
Spatula cyanoptera,Animalia,Chordata,Aves,Anseriformes,Anatidae ,Spatula,cyanoptera,Cerceta Castaña ,Cinnamon Teal,"Spatula cyanoptera, Cinnamon Teal, Cerceta Castaña ",,Carraco,34
Spiza americana,Animalia,Chordata,Aves,Passeriformes,Cardinalidae ,Spiza,americana,Sabanero Arrocero ,Dickcissel,"Spiza americana, Dickcissel, Sabanero Arrocero ",,"Arrocero, Pius",342
Spizaetus tyrannus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae ,Spizaetus,tyrannus,Aguilillo Negro ,Black Hawk-Eagle,"Spizaetus tyrannus, Black Hawk-Eagle, Aguilillo Negro ",,Aguilucho,110
Spizella  passerina,Animalia,Chordata,Aves,Passeriformes,Emberizidae ,Spizella,passerina,Chimbito Común,Chipping Sparrow,"Spizella  passerina, Chipping Sparrow, Chimbito Común",,,338
Streptoprocne rutila,Animalia,Chordata,Aves,Apodiformes,Apodidae ,Streptoprocne,rutila,Vencejo Cuellicastaño,Chestnut-collared Swift,"Streptoprocne rutila, Chestnut-collared Swift, Vencejo Cuellicastaño",,,130
Tangara inornata,Animalia,Chordata,Aves,Passeriformes,Thraupidae ,Tangara,inornata,Tangara Cenicienta,Plain-colored Tanager,"Tangara inornata, Plain-colored Tanager, Tangara Cenicienta",,,318
Thalasseus elegans,Animalia,Chordata,Aves,Charadriiformes,Laridae ,Thalasseus,elegans,Pagaza Elegante,Elegant Tern,"Thalasseus elegans, Elegant Tern, Pagaza Elegante",,,50
Thalasseus maximus,Animalia,Chordata,Aves,Charadriiformes,Laridae ,Thalasseus,maximus,Pagaza Real,Royal Tern,"Thalasseus maximus, Royal Tern, Pagaza Real",,,50
Tinamus major,Animalia,Chordata,Aves,Tinamiformes,Tinamidae ,Tinamus,major,Tinamú Grande ,Great Tinamou,"Tinamus major, Great Tinamou, Tinamú Grande ",,"Gallina de monte, Perdiz, Gongolona, Yerre",24
Tolmomyias assimilis,Animalia,Chordata,Aves,Passeriformes,Tyrannidae ,Tolmomyias,assimilis,Piquiplano Aliamarillo,Yellow-margined Flycatcher,"Tolmomyias assimilis, Yellow-margined Flycatcher, Piquiplano Aliamarillo",,,232
Touit costaricensis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae ,Touit,costaricensis,Periquito Alirrojo,Red-fronted Parrotlet,"Touit costaricensis, Red-fronted Parrotlet, Periquito Alirrojo",,,170
Tringa flavipes,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae ,Tringa,flavipes,Patiamarillo Menor,Lesser Yellowlegs,"Tringa flavipes, Lesser Yellowlegs, Patiamarillo Menor",,"Pijije, Zarceta",74
Trogon rufus,Animalia,Chordata,Aves,Trogoniformes,Trogonidae ,Trogon,rufus,Trogón Cabeciverde,Black-throated Trogon,"Trogon rufus, Black-throated Trogon, Trogón Cabeciverde",,,178
Vireo carmioli,Animalia,Chordata,Aves,Passeriformes,Vireonidae ,Vireo,carmioli,Vireo Aliamarillo,Yellow-winged Vireo,"Vireo carmioli, Yellow-winged Vireo, Vireo Aliamarillo",,,284
Vireo gilvus,Animalia,Chordata,Aves,Passeriformes,Vireonidae ,Vireo,gilvus,Vireo Canoro,Warbling Vireo,"Vireo gilvus, Warbling Vireo, Vireo Canoro",,,286
Vireo griseus,Animalia,Chordata,Aves,Passeriformes,Vireonidae ,Vireo,griseus,Vireo Ojiblanco,White-eyed Vireo,"Vireo griseus, White-eyed Vireo, Vireo Ojiblanco",,,284
Vireo leucophrys,Animalia,Chordata,Aves,Passeriformes,Vireonidae ,Vireo,leucophrys,Vireo Montañero,Brown-capped Vireo,"Vireo leucophrys, Brown-capped Vireo, Vireo Montañero",,,286
Vireo olivaceus,Animalia,Chordata,Aves,Passeriformes,Vireonidae ,Vireo,olivaceus,Vireo Ojirrojo,Red-eyed Vireo,"Vireo olivaceus, Red-eyed Vireo, Vireo Ojirrojo",,Chiguisa,286
Xiphocolaptes promeropirhynchus,Animalia,Chordata,Aves,Passeriformes,Furnariidae ,Xiphocolaptes,promeropirhynchus,Trepador Gigante,Strong-billed Woodcreeper,"Xiphocolaptes promeropirhynchus, Strong-billed Woodcreeper, Trepador Gigante",,,206
Zeledonia coronata,Animalia,Chordata,Aves,Passeriformes,Parulidae ,Zeledonia,coronata,Zeledonia,Wrenthrush,"Zeledonia coronata, Wrenthrush, Zeledonia",,,312
Zentrygon chiriquensis,Animalia,Chordata,Aves,Columbiformes,Columbidae ,Zentrygon,chiriquensis,Paloma-Perdiz Pechicanela,Chiriqui Quail-Dove,"Zentrygon chiriquensis, Chiriqui Quail-Dove, Paloma-Perdiz Pechicanela",,,166
Zentrygon costaricensis,Animalia,Chordata,Aves,Columbiformes,Columbidae ,Zentrygon,costaricensis,Paloma-Perdiz Costarriqueña,Buff-fronted Quail-Dove,"Zentrygon costaricensis, Buff-fronted Quail-Dove, Paloma-Perdiz Costarriqueña",,,166
Zentrygon lawrencii,Animalia,Chordata,Aves,Columbiformes,Columbidae ,Zentrygon,lawrencii,Paloma-Perdiz Sombría,Purplish-backed Quail-Dove,"Zentrygon lawrencii, Purplish-backed Quail-Dove, Paloma-Perdiz Sombría",,,166
